date,well,label,sample_ID,type,std_conc,std_conc_unit,diluent,volume,sample_dil,sample_dil_final,source,species,suppress
2024.11.27b,D8,A37,A037,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,D9,A37,A037,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,E8,A47,A047,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,E9,A47,A047,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,F8,A57,A057,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,F9,A57,A057,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,G8,A67,A067,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,G9,A67,A067,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,H8,A77,A077,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,H9,A77,A077,sample,,,NaOH,,200,200,whole_body,,FALSE
2024.11.27b,A10,,,,,,,,,,,,FALSE
2024.11.27b,A11,,,,,,,,,,,,FALSE
2024.11.27b,B10,,,,,,,,,,,,FALSE
2024.11.27b,B11,,,,,,,,,,,,FALSE
2024.11.27b,C10,,,,,,,,,,,,FALSE
2024.11.27b,C11,,,,,,,,,,,,FALSE
2024.11.27b,D10,,,,,,,,,,,,FALSE
2024.11.27b,D11,,,,,,,,,,,,FALSE
2024.11.27b,E10,,,,,,,,,,,,FALSE
2024.11.27b,E11,,,,,,,,,,,,FALSE
2024.11.27b,F10,,,,,,,,,,,,FALSE
2024.11.27b,F11,,,,,,,,,,,,FALSE
2024.11.27b,G10,,,,,,,,,,,,FALSE
2024.11.27b,G11,,,,,,,,,,,,FALSE
2024.11.27b,H10,,,,,,,,,,,,FALSE
2024.11.27b,H11,,,,,,,,,,,,FALSE
2024.11.27b,A12,,,,,,,,,,,,FALSE
2024.11.27b,B12,,,,,,,,,,,,FALSE
2024.11.27b,C12,,,,,,,,,,,,FALSE
2024.11.27b,D12,,,,,,,,,,,,FALSE
2024.11.27b,E12,,,,,,,,,,,,FALSE
2024.11.27b,F12,,,,,,,,,,,,FALSE
2024.11.27b,G12,,,,,,,,,,,,FALSE
2024.11.27b,H12,,,,,,,,,,,,FALSE
