date,well,label,sample_ID,type,std_conc,std_conc_unit,diluent,volume,sample_dil,sample_dil_final,source,species,suppress,treatment
2024.11.22,F5,A55,A055,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_120m
2024.11.22,G4,A65,A065,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_015m
2024.11.22,G5,A65,A065,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_015m
2024.11.22,H4,A75,A075,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_030m
2024.11.22,H5,A75,A075,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_030m
2024.11.22,A6,A06,A006,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,ctrl
2024.11.22,A7,A06,A006,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,ctrl
2024.11.22,B6,A16,A016,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_002m
2024.11.22,B7,A16,A016,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_002m
2024.11.22,C6,A26,A026,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_015m
2024.11.22,C7,A26,A026,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_015m
2024.11.22,D6,A36,A036,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_030m
2024.11.22,D7,A36,A036,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_030m
2024.11.22,E6,A46,A046,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_060m
2024.11.22,E7,A46,A046,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_060m
2024.11.22,F6,A56,A056,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_120m
2024.11.22,F7,A56,A056,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_120m
2024.11.22,G6,A66,A066,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_015m
2024.11.22,G7,A66,A066,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_015m
2024.11.22,H6,A76,A076,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_030m
2024.11.22,H7,A76,A076,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_030m
2024.11.22,A8,A07,A007,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,ctrl
2024.11.22,A9,A07,A007,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,ctrl
2024.11.22,B8,A17,A017,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_002m
2024.11.22,B9,A17,A017,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_002m
2024.11.22,C8,A27,A027,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_015m
2024.11.22,C9,A27,A027,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_015m
2024.11.22,D8,A37,A037,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_030m
2024.11.22,D9,A37,A037,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_030m
2024.11.22,E8,A47,A047,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_060m
2024.11.22,E9,A47,A047,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_060m
2024.11.22,F8,A57,A057,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_120m
2024.11.22,F9,A57,A057,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,anoxia_120m
2024.11.22,G8,A67,A067,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_015m
2024.11.22,G9,A67,A067,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_015m
2024.11.22,H8,A77,A077,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_030m
2024.11.22,H9,A77,A077,sample,,,10%_TCA,5,10,10,whole_body,,FALSE,reoxy_030m
2024.11.22,A10,,,,,,,,,,,,FALSE,
2024.11.22,A11,,,,,,,,,,,,FALSE,
2024.11.22,A12,,,,,,,,,,,,FALSE,
2024.11.22,B10,,,,,,,,,,,,FALSE,
2024.11.22,B11,,,,,,,,,,,,FALSE,
2024.11.22,B12,,,,,,,,,,,,FALSE,
2024.11.22,C10,,,,,,,,,,,,FALSE,
2024.11.22,C11,,,,,,,,,,,,FALSE,
2024.11.22,C12,,,,,,,,,,,,FALSE,
2024.11.22,D10,,,,,,,,,,,,FALSE,
2024.11.22,D11,,,,,,,,,,,,FALSE,
2024.11.22,D12,,,,,,,,,,,,FALSE,
2024.11.22,E10,,,,,,,,,,,,FALSE,
2024.11.22,E11,,,,,,,,,,,,FALSE,
2024.11.22,E12,,,,,,,,,,,,FALSE,
2024.11.22,F10,,,,,,,,,,,,FALSE,
2024.11.22,F11,,,,,,,,,,,,FALSE,
2024.11.22,F12,,,,,,,,,,,,FALSE,
2024.11.22,G10,,,,,,,,,,,,FALSE,
2024.11.22,G11,,,,,,,,,,,,FALSE,
2024.11.22,G12,,,,,,,,,,,,FALSE,
2024.11.22,H10,,,,,,,,,,,,FALSE,
2024.11.22,H11,,,,,,,,,,,,FALSE,
2024.11.22,H12,,,,,,,,,,,,FALSE,
